114	"b""'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA\nhttps://t.co/PGimqYKPoJ"""
115	b'Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou https://t.co/vxWZ2tyJTF'
116	b'In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we\xe2\x80\x99re still going! Thank you America! #MAGA'
117	"b""Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!"""
118	b'Thank you for your endorsement, @GovernorSununu. #MAGA \nhttps://t.co/8BEeQPsuyd'
119	b'Such a great honor. Final debate polls are in - and the MOVEMENT wins!\n#AmericaFirst #MAGA #ImWithYou\xe2\x80\xa6 https://t.co/DV1BKMwHEM'
120	"b""'U.S. Murders Increased 10.8% in 2015' via @WSJ: https://t.co/CIJMQJhLqp"""
121	b'Thank you! #TrumpWon #MAGA \nhttps://t.co/a5rr1i38km'
122	"b""Hillary's been failing for 30 years in not getting the job done - it will never change."""
123	"b""'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch' https://t.co/NHO1OicfVm"""
124	b'The #1 trend on Twitter right now is #TrumpWon - thank you!'
125	b'I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.'
126	"b""'How Trump won over a bar full of undecideds and Democrats'\nhttps://t.co/WWO39kxn8Y"""
127	"b""I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?"""
128	b'Great debate poll numbers - I will be on @foxandfriends at 7:00 to discuss. Enjoy!'
129	b'Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN\xe2\x80\xa6 https://t.co/39FCnUf8Pb'
130	"b"".@DRUDGE_REPORT's First Presidential Debate Poll:\nTrump: 80%\nClinton: 20%\nJoin the MOVEMENT today &amp; lets #MAGA!\xe2\x80\xa6 https://t.co/B12lgC97tn"""
131	b'Thank you! CNBC #DebateNight poll with over 400,000 votes. \nTrump 61%\nClinton 39%\n#AmericaFirst #ImWithYou\xe2\x80\xa6 https://t.co/MJ3NwA98op'
132	b'TIME #DebateNight poll - over 800,000 votes. Thank you! \n#AmericaFirst #MAGA https://t.co/bTPX9E0wKu'
133	"b'.@newtgingrich just said ""a historic victory for Trump."" NICE!'"
134	"b""Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!"""
135	b'Thank you Governor @TerryBranstad! \n#AmericaFirst #Debates2016 https://t.co/yIeZctdQy8'
136	b'Thank you Governor @Mike_Pence!\nLets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. \n#AmericaFirst\xe2\x80\xa6 https://t.co/6k7qP9X8nC'
137	b'Thank you Senator @TedCruz!\n#Debates2016 #MAGA https://t.co/cgO6109USJ'
138	b'.@HillaryClinton\xe2\x80\x99s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight\nhttps://t.co/qfZTx6aKYs'
139	b'Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight'
140	b'.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight https://t.co/f7PctDE31L'
141	b'Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.'
142	b'Hillary Clinton failed all over the world. \n\xe2\x9d\x8cLIBYA\n\xe2\x9d\x8cSYRIA\n\xe2\x9d\x8cIRAN\n\xe2\x9d\x8cIRAQ\n\xe2\x9d\x8cASIA PIVOT\n\xe2\x9d\x8cRUSSIAN RESET\n\xe2\x9d\x8cBENGHAZI\xe2\x80\xa6 https://t.co/OoakXs2rij'
143	b'Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://t.co/Um5WJXEEKr'
144	"b"".@HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage #DebateNight \nhttps://t.co/6EEOAaCiNv"""
145	b'I will stand with police and protect ALL Americans! #Debates2016 #MAGA https://t.co/CX4oEWgEMp'
146	b'This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action. #Debates2016'
147	"b""HILLARY'S BAD TAX HABIT! https://t.co/x3FBy8Hdq2"""
148	b'A Clinton economy = more taxes and more spending! #DebateNight https://t.co/oFlaAhrwe5'
149	b'.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016'
150	"b""Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creati\xe2\x80\xa6 https://t.co/02NMQn3ZNQ"""
151	b'.@HillaryClinton channels John Kerry on trade: she was for bad trade deals before she was against them. #TPP #Debates2016'
152	b'.@HillaryClinton and Obama policies increased debt by $9trillion over the last 8 years'
153	"b""Why isn't Hillary Clinton 50 points ahead?\n#DebateNight https://t.co/iux7icIkaT"""
154	b'My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!\n#DebateNight #TrumpPence16'
155	b'New national Bloomberg poll just released - thank you! Join the MOVEMENT: https://t.co/3KWOl2ibaW. \n#TrumpTrain\xe2\x80\xa6 https://t.co/xDGCwYVK0Q'
156	"b'Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.'"
157	b'Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!'
158	b'Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu:\nhttps://t.co/VHuyE65hgi https://t.co/6KDPrQxSED'
159	b'Looking forward to my meeting with Benjamin Netanyahu in Trump Tower at 10:00 A.M.'
160	b'Bernie Sanders gave Hillary the Dem nomination when he gave up on the e-mails. That issue has only gotten bigger!'
161	b'Many on the team and staff of Bernie Sanders have been treated badly by the Hillary Clinton campaign - and they like Trump on trade, a lot!'
162	b'Thank you Roanoke, Virginia - this a MOVEMENT - join us today!\nSign up: https://t.co/NQEgRxQN2m\n#AmericaFirst\xe2\x80\xa6 https://t.co/Rz3DkpBQJu'
